DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE
GDSC1,342,15610521,724873,NCI-H2009,SIDM00756,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.421375,0.740241,0.08953,-0.408997
GDSC1,342,15610866,724874,NCI-H2291,SIDM00728,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.481505,0.884116,0.076951,0.799272
GDSC1,342,15611220,724878,SW1573,SIDM01163,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.996182,0.863396,0.048476,0.491107
GDSC1,342,15611573,735784,TE-5,SIDM00347,ESCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.923585,0.672626,0.090541,-0.727885
GDSC1,342,15611964,749709,HCC1954,SIDM00872,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.389863,0.959832,0.043073,1.37605
GDSC1,342,15612316,749710,HCC1143,SIDM00866,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.216174,0.864752,0.108153,0.630795
GDSC1,342,15612485,749711,HCC1187,SIDM00885,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.735695,0.958253,0.108847,0.960674
GDSC1,342,15612868,749712,HCC1395,SIDM00884,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.332207,0.808519,0.175823,0.069504
GDSC1,342,15613479,749714,HCC1937,SIDM00874,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.436103,0.830672,0.193014,0.135475
GDSC1,342,15613834,749715,HCC2157,SIDM00774,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.47353,0.925697,0.015827,0.794208
GDSC1,342,15614231,749716,HCC2218,SIDM00772,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,4.665439,0.983561,0.026673,2.820969
GDSC1,342,15614624,749717,HCC38,SIDM00675,BRCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.366304,0.833593,0.067936,0.091154
GDSC1,342,15614979,753531,BB30-HNC,SIDM00172,HNSC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.094384,0.791972,0.229333,-0.201368
GDSC1,342,15615335,753532,BB49-HNC,SIDM00174,HNSC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.611006,0.829558,0.277261,0.246532
GDSC1,342,15615720,753533,BB65-RCC,SIDM00191,KIRC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-2.154367,0.489115,0.102651,-1.509393
